,category,id_DW,id_RL,image,roi_DW,roi_RL
0,OFQv68_w2,0,0,1,3,2
1,OFQv68_w2,2,1,1,5,4
2,OFQv68_w2,3,2,1,6,5
3,OFQv68_w2,4,3,1,7,6
4,OFQv68_w2,5,4,1,8,7
5,OFQv68_w2,6,5,1,9,8
6,OFQv68_w2,7,7,2,2,2
7,OFQv68_w2,8,9,2,3,4
8,OFQv68_w2,9,10,2,4,5
9,OFQv68_w2,10,11,2,5,6
10,OFQv68_w2,11,12,2,6,7
11,OFQv68_w2,12,13,2,7,8
12,OFQv68_w2,13,14,2,8,9
13,OFQv68_w2,17,15,3,2,1
14,OFQv68_w2,18,16,3,3,2
15,OFQv68_w2,19,17,3,4,3
16,OFQv68_w2,20,18,3,5,4
17,OFQv68_w2,21,19,3,7,6
18,OFQv68_w2,22,20,4,1,1
19,OFQv68_w2,24,21,4,3,3
20,OFQv68_w2,25,22,4,4,4
21,OFQv68_w2,26,23,4,5,5
22,OFQv68_w2,27,24,4,6,6
23,OFQv68_w2,28,25,4,7,7
24,OFQv68_w2,29,26,4,8,8
25,OFQv68_w2,30,27,5,1,1
26,OFQv68_w2,31,28,5,2,2
27,OFQv68_w2,32,29,5,3,3
28,OFQv68_w2,33,30,5,4,4
29,OFQv68_w2,35,31,5,6,6
30,OFQv68_w3,36,32,6,3,3
31,OFQv68_w3,37,33,7,1,1
32,OFQv68_w3,38,34,7,2,2
33,OFQv68_w3,39,35,7,3,3
34,OFQv68_w3,40,36,7,4,4
35,OFQv68_w3,41,37,7,7,7
36,OFQv68_w3,42,38,8,1,1
37,OFQv68_w3,43,39,8,2,2
38,OFQv68_w3,44,40,8,3,3
39,OFQv68_w3,45,41,8,4,4
40,OFQv68_w3,46,42,8,5,5
41,OFQv68_w3,47,43,8,7,6
42,OFQv68_w3,49,46,9,4,5
43,OFQv68_w3,51,48,10,1,1
44,OFQv68_w3,52,49,10,2,2
45,OFQv68_w3,53,50,10,3,3
46,OFQv68_w3,54,51,10,4,4
47,OFQv68_w3,55,52,10,5,5
48,OFQv68_w3,57,53,10,7,7
49,OFQv68_w4,59,54,11,2,2
50,OFQv68_w4,61,55,11,4,4
51,OFQv68_w4,62,56,11,5,5
52,OFQv68_w4,63,57,11,6,6
53,OFQv68_w4,64,58,11,7,7
54,OFQv68_w4,65,59,11,8,8
55,OFQv68_w4,66,60,11,9,9
56,OFQv68_w4,67,61,12,1,1
57,OFQv68_w4,70,62,12,4,4
58,OFQv68_w4,71,63,12,5,5
59,OFQv68_w4,72,64,12,6,6
60,OFQv68_w4,73,65,12,7,7
61,OFQv68_w4,74,66,13,1,1
62,OFQv68_w4,76,67,13,3,3
63,OFQv68_w4,77,68,13,4,4
64,OFQv68_w4,78,69,13,5,5
65,OFQv68_w4,79,70,13,6,6
66,OFQv68_w4,80,71,13,7,7
67,OFQv68_w4,81,72,13,8,8
68,OFQv68_w4,82,73,13,9,9
69,OFQv68_w4,83,74,13,10,10
70,OFQv68_w4,84,75,13,11,11
71,OFQv68_w4,85,76,13,12,12
72,OFQv68_w4,86,77,13,13,13
73,OFQv68_w4,87,80,14,2,3
74,OFQv68_w4,88,81,14,3,4
75,OFQv68_w4,89,82,14,4,5
76,OFQv68_w4,90,83,14,5,6
77,OFQv68_w4,91,84,14,6,7
78,OFQv68_w4,92,85,14,7,8
79,OFQv68_w4,93,86,14,8,9
80,OFQv68_w4,95,87,15,2,2
81,OFQv68_w3_BS,98,88,21,1,1
82,OFQv68_w3_BS,99,89,21,2,2
83,OFQv68_w3_BS,100,91,21,4,4
84,OFQv68_w3_BS,101,92,21,5,5
85,OFQv68_w3_BS,102,93,21,7,7
86,OFQv68_w3_BS,105,94,23,2,2
87,OFQv68_w3_BS,106,95,23,3,3
88,OFQv68_w3_BS,107,96,23,4,4
89,OFQv68_w3_BS,108,97,23,5,5
90,OFQv68_w3_BS,112,99,24,2,2
91,OFQv68_w3_BS,113,100,25,1,1
92,OFQv68_w3_BS,114,101,25,2,2
93,OFQv68_w3_BS,115,102,25,3,3
94,OFQv68_w3_BS,116,103,25,4,4
95,OFQv68_w3_BS,118,104,25,6,6
96,OFQv68_w3_BS,119,105,25,8,8
97,OFQv68_w3_BS,120,106,25,9,9
98,OFQv68_w4_BS,122,107,31,1,1
99,OFQv68_w4_BS,123,110,32,1,1
100,OFQv68_w4_BS,124,111,32,2,2
101,OFQv68_w4_BS,125,112,32,3,3
102,OFQv68_w4_BS,126,113,32,4,4
103,OFQv68_w4_BS,127,114,32,6,6
104,OFQv68_w4_BS,128,115,32,7,7
105,OFQv68_w4_BS,129,116,32,8,8
106,OFQv68_w4_BS,130,117,32,9,9
107,OFQv68_w4_BS,131,118,33,1,1
108,OFQv68_w4_BS,133,119,33,3,3
109,OFQv68_w4_BS,135,120,33,5,5
110,OFQv68_w4_BS,136,121,33,6,6
111,OFQv68_w4_BS,139,122,34,6,4
112,OFQv68_w4_BS,140,123,35,2,2
113,OFQv68_w4_BS,141,124,35,3,3
114,OFQv68_w4_BS,142,125,35,4,4
115,OFQv69_w4,143,127,1,1,1
116,OFQv69_w4,144,128,1,2,2
117,OFQv69_w4,145,129,1,3,3
118,OFQv69_w4,146,130,1,4,4
119,OFQv69_w4,147,131,2,1,1
120,OFQv69_w4,148,132,2,2,2
121,OFQv69_w4,149,133,2,5,5
122,OFQv69_w4,150,134,3,1,1
123,OFQv69_w4,151,135,3,2,2
124,OFQv69_w4,152,136,3,3,3
125,OFQv69_w4,153,137,3,4,4
126,OFQv69_w4,154,138,3,5,5
127,OFQv69_w4,155,139,3,6,6
128,OFQv69_w4,156,140,3,7,7
129,OFQv69_w4,157,141,3,8,8
130,OFQv69_w4,158,142,4,1,1
131,OFQv69_w4,159,143,4,2,2
132,OFQv69_w4,160,144,4,3,3
133,OFQv69_w4,161,145,4,5,5
134,OFQv69_w4,162,146,4,6,6
135,OFQv69_w4,163,148,5,2,2
136,OFQv69_w4,164,149,5,3,3
137,OFQv69_w4,165,150,5,4,4
138,OFQv69_w4,166,151,5,5,5
139,OFQv69_w4,168,152,5,7,7
140,OFQv69_w4,170,153,5,9,10
141,OFQv69_w5,172,154,6,3,3
142,OFQv69_w5,173,155,6,5,5
143,OFQv69_w5,175,157,7,2,2
144,OFQv69_w5,177,158,7,4,4
145,OFQv69_w5,178,159,7,5,5
146,OFQv69_w5,179,160,7,7,7
147,OFQv69_w5,180,161,8,1,1
148,OFQv69_w5,181,162,8,2,2
149,OFQv69_w5,182,163,8,3,3
150,OFQv69_w5,183,164,8,4,4
151,OFQv69_w5,184,165,8,5,5
152,OFQv69_w5,185,166,8,6,6
153,OFQv69_w5,186,167,9,2,2
154,OFQv69_w5,187,168,9,3,3
155,OFQv69_w5,188,169,9,4,4
156,OFQv69_w5,189,170,9,5,5
157,OFQv69_w5,191,171,9,7,7
158,OFQv69_w5,192,172,10,1,1
159,OFQv69_w5,193,173,10,2,2
160,OFQv69_w5,194,174,10,3,3
161,OFQv69_w5,195,175,10,5,5
