,image,roi,category,Deconvolution,detected,match_barcodes
4,1,3,OFQv68_w2,DW,0.9565217391304348,44
8,1,4,OFQv68_w2,DW,0.9130434782608695,42
12,1,5,OFQv68_w2,DW,1.0,46
14,1,6,OFQv68_w2,DW,0.9565217391304348,44
16,1,7,OFQv68_w2,DW,0.9565217391304348,44
18,1,8,OFQv68_w2,DW,1.0,46
20,1,9,OFQv68_w2,DW,0.9782608695652174,45
24,2,2,OFQv68_w2,DW,0.9782608695652174,45
28,2,3,OFQv68_w2,DW,0.9347826086956522,43
30,2,4,OFQv68_w2,DW,0.9565217391304348,44
32,2,5,OFQv68_w2,DW,0.9130434782608695,42
36,2,6,OFQv68_w2,DW,0.9782608695652174,45
38,2,7,OFQv68_w2,DW,1.0,46
40,2,8,OFQv68_w2,DW,1.0,46
42,2,9,OFQv68_w2,DW,1.0,46
46,3,2,OFQv68_w2,DW,0.9782608695652174,45
50,3,3,OFQv68_w2,DW,0.9565217391304348,44
54,3,4,OFQv68_w2,DW,1.0,46
58,3,5,OFQv68_w2,DW,0.9782608695652174,45
64,3,7,OFQv68_w2,DW,1.0,46
70,4,1,OFQv68_w2,DW,0.9782608695652174,45
76,4,3,OFQv68_w2,DW,1.0,46
80,4,4,OFQv68_w2,DW,0.9782608695652174,45
82,4,5,OFQv68_w2,DW,0.9565217391304348,44
86,4,6,OFQv68_w2,DW,0.9782608695652174,45
90,4,7,OFQv68_w2,DW,0.9782608695652174,45
92,4,8,OFQv68_w2,DW,1.0,46
94,5,1,OFQv68_w2,DW,0.9782608695652174,45
98,5,2,OFQv68_w2,DW,1.0,46
102,5,3,OFQv68_w2,DW,0.9782608695652174,45
106,5,4,OFQv68_w2,DW,0.9782608695652174,45
112,5,6,OFQv68_w2,DW,1.0,46
118,6,3,OFQv68_w3,DW,0.9565217391304348,44
126,7,1,OFQv68_w3,DW,0.9782608695652174,45
128,7,2,OFQv68_w3,DW,0.9347826086956522,43
132,7,3,OFQv68_w3,DW,0.9782608695652174,45
134,7,4,OFQv68_w3,DW,0.9782608695652174,45
140,7,7,OFQv68_w3,DW,1.0,46
144,8,1,OFQv68_w3,DW,0.9130434782608695,42
148,8,2,OFQv68_w3,DW,0.9347826086956522,43
152,8,3,OFQv68_w3,DW,1.0,46
156,8,4,OFQv68_w3,DW,0.9782608695652174,45
160,8,5,OFQv68_w3,DW,1.0,46
166,9,1,OFQv68_w3,DW,1.0,46
172,9,4,OFQv68_w3,DW,0.9782608695652174,45
176,9,5,OFQv68_w3,DW,1.0,46
180,9,6,OFQv68_w3,DW,1.0,46
184,10,1,OFQv68_w3,DW,0.9782608695652174,45
188,10,2,OFQv68_w3,DW,0.9347826086956522,43
192,10,3,OFQv68_w3,DW,0.9782608695652174,45
196,10,4,OFQv68_w3,DW,0.9782608695652174,45
198,10,5,OFQv68_w3,DW,0.9782608695652174,45
202,10,7,OFQv68_w3,DW,1.0,46
268,21,1,OFQv68_w3_BS,DW,0.9347826086956522,43
270,21,2,OFQv68_w3_BS,DW,0.9782608695652174,45
272,21,4,OFQv68_w3_BS,DW,1.0,46
274,21,5,OFQv68_w3_BS,DW,1.0,46
276,21,7,OFQv68_w3_BS,DW,0.9347826086956522,43
278,23,2,OFQv68_w3_BS,DW,0.9347826086956522,43
280,23,3,OFQv68_w3_BS,DW,0.8260869565217391,38
282,23,4,OFQv68_w3_BS,DW,1.0,46
284,23,5,OFQv68_w3_BS,DW,0.9565217391304348,44
286,24,2,OFQv68_w3_BS,DW,0.9565217391304348,44
288,25,1,OFQv68_w3_BS,DW,1.0,46
290,25,2,OFQv68_w3_BS,DW,0.9782608695652174,45
292,25,3,OFQv68_w3_BS,DW,1.0,46
294,25,4,OFQv68_w3_BS,DW,0.9565217391304348,44
296,25,6,OFQv68_w3_BS,DW,0.8695652173913043,40
298,25,8,OFQv68_w3_BS,DW,0.9565217391304348,44
300,25,9,OFQv68_w3_BS,DW,1.0,46
204,11,2,OFQv68_w4,DW,0.9565217391304348,44
206,11,4,OFQv68_w4,DW,0.9347826086956522,43
208,11,5,OFQv68_w4,DW,0.9347826086956522,43
210,11,6,OFQv68_w4,DW,1.0,46
212,11,7,OFQv68_w4,DW,1.0,46
214,11,8,OFQv68_w4,DW,0.9565217391304348,44
216,11,9,OFQv68_w4,DW,0.9565217391304348,44
218,12,1,OFQv68_w4,DW,0.9782608695652174,45
220,12,4,OFQv68_w4,DW,0.9782608695652174,45
222,12,5,OFQv68_w4,DW,0.9347826086956522,43
224,12,6,OFQv68_w4,DW,0.9782608695652174,45
226,12,7,OFQv68_w4,DW,0.9347826086956522,43
228,13,1,OFQv68_w4,DW,0.9782608695652174,45
230,13,3,OFQv68_w4,DW,0.9565217391304348,44
232,13,4,OFQv68_w4,DW,0.9782608695652174,45
234,13,5,OFQv68_w4,DW,0.9565217391304348,44
236,13,6,OFQv68_w4,DW,1.0,46
238,13,7,OFQv68_w4,DW,0.9565217391304348,44
