,image,roi,category,match_barcodes,detected,Deconvolution,loci
0,1,1,OFQv69_w4,1,1,DW,X1
1,1,1,OFQv69_w4,1,1,DW,X10
2,1,1,OFQv69_w4,1,1,DW,X11
3,1,1,OFQv69_w4,1,1,DW,X12
4,1,1,OFQv69_w4,1,1,DW,X13
5,1,1,OFQv69_w4,1,1,DW,X14
6,1,1,OFQv69_w4,1,1,DW,X15
7,1,1,OFQv69_w4,1,1,DW,X16
8,1,1,OFQv69_w4,1,1,DW,X17
9,1,1,OFQv69_w4,1,1,DW,X18
10,1,1,OFQv69_w4,1,1,DW,X19
11,1,1,OFQv69_w4,1,1,DW,X2
12,1,1,OFQv69_w4,1,1,DW,X20
13,1,1,OFQv69_w4,1,1,DW,X21
14,1,1,OFQv69_w4,1,1,DW,X22
15,1,1,OFQv69_w4,1,1,DW,X23
16,1,1,OFQv69_w4,1,1,DW,X24
17,1,1,OFQv69_w4,1,1,DW,X25
18,1,1,OFQv69_w4,1,1,DW,X26
19,1,1,OFQv69_w4,1,1,DW,X27
20,1,1,OFQv69_w4,1,1,DW,X28
21,1,1,OFQv69_w4,1,1,DW,X29
22,1,1,OFQv69_w4,1,1,DW,X3
23,1,1,OFQv69_w4,1,1,DW,X30
24,1,1,OFQv69_w4,1,1,DW,X31
25,1,1,OFQv69_w4,1,1,DW,X32
26,1,1,OFQv69_w4,1,1,DW,X33
27,1,1,OFQv69_w4,1,1,DW,X34
28,1,1,OFQv69_w4,1,1,DW,X35
29,1,1,OFQv69_w4,1,1,DW,X36
30,1,1,OFQv69_w4,1,1,DW,X37
31,1,1,OFQv69_w4,1,1,DW,X38
32,1,1,OFQv69_w4,1,1,DW,X39
33,1,1,OFQv69_w4,1,1,DW,X4
34,1,1,OFQv69_w4,1,1,DW,X40
35,1,1,OFQv69_w4,1,1,DW,X41
36,1,1,OFQv69_w4,1,1,DW,X42
37,1,1,OFQv69_w4,1,1,DW,X43
38,1,1,OFQv69_w4,1,1,DW,X44
39,1,1,OFQv69_w4,1,1,DW,X45
40,1,1,OFQv69_w4,1,1,DW,X46
